session_test_id,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,0,C2,27,79868,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,0,C1,48,79868,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,0,C3,61,79868,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,0,C5,49,79868,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,0,C4,59,79868,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,0,C6,51,79868,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,0,reference,100,79868,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,1,C1,80,59190,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,1,C3,67,59190,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,1,C2,64,59190,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,1,C5,65,59190,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,1,C6,59,59190,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,1,C4,49,59190,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,1,reference,100,59190,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,2,C6,53,32317,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,2,C3,100,32317,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,2,C1,100,32317,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,2,C4,100,32317,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,2,C2,100,32317,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,2,reference,100,32317,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,2,C5,100,32317,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,3,C3,100,815,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,3,C6,100,815,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,3,C1,100,815,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,3,C5,100,815,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,3,C2,100,815,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,3,reference,100,815,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,3,C4,100,815,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,4,reference,100,3239,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,4,C1,100,3239,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,5,C1,100,722,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,5,C6,100,722,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,5,C2,100,722,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,5,C5,100,722,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,5,C3,100,722,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,5,C4,100,722,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,5,reference,100,722,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,6,C2,100,758,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,6,C5,100,758,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,6,C1,100,758,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,6,C4,100,758,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,6,C6,100,758,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,6,C3,100,758,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,6,reference,100,758,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,7,C6,100,450,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,7,C2,100,450,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,7,C5,100,450,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,7,C3,100,450,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,7,reference,100,450,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,7,C1,100,450,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,7,C4,100,450,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,8,C2,100,424,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,8,C1,100,424,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,8,C5,100,424,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,8,C3,100,424,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,8,C4,100,424,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,8,C6,100,424,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,8,reference,100,424,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,9,C2,100,330,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,9,C1,100,330,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,9,C3,100,330,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,9,C6,100,330,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,9,C5,100,330,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,9,C4,100,330,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,9,reference,100,330,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,10,C2,100,331,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,10,C4,100,331,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,10,C5,100,331,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,10,C6,100,331,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,10,C1,100,331,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,10,C3,100,331,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,10,reference,100,331,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,11,C2,100,303,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,11,C4,100,303,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,11,reference,100,303,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,11,C5,100,303,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,11,C6,100,303,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,11,C1,100,303,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,11,C3,100,303,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,12,C4,100,172,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,12,C2,100,172,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,12,C1,100,172,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,12,C3,100,172,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,12,C6,100,172,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,12,reference,100,172,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,12,C5,100,172,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,13,reference,100,298,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,13,C2,100,298,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,13,C6,100,298,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,13,C5,100,298,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,13,C4,100,298,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,13,C1,100,298,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,13,C3,100,298,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,14,C4,100,232,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,14,C5,100,232,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,14,C1,100,232,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,14,C3,100,232,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,14,C2,100,232,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,14,reference,100,232,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,15,C1,100,392,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,15,C2,100,392,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,15,reference,100,392,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,15,C5,100,392,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,15,C3,100,392,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,15,C4,100,392,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,0,C3,100,60036,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,0,C2,100,60036,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,0,C1,100,60036,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,0,reference,100,60036,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,0,C5_anchor,100,60036,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,0,C5,100,60036,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,0,C4,100,60036,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,0,C6,100,60036,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,1,C2,100,1534,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,1,C3,100,1534,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,1,C1,100,1534,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,1,C4,100,1534,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,1,C5,100,1534,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,1,C3_anchor,100,1534,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,1,reference,100,1534,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,1,C6,100,1534,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,2,C2,100,1078,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,2,C1,100,1078,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,2,C3,100,1078,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,2,reference,100,1078,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,2,C4,100,1078,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,2,C5_anchor,100,1078,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,2,C5,100,1078,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,2,C6,100,1078,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,3,C4,100,703,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,3,C3,100,703,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,3,C2,100,703,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,3,C1,100,703,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,3,C5,100,703,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,3,C3_anchor,100,703,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,3,reference,100,703,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,3,C6,100,703,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,4,C3,100,506,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,4,C1,100,506,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,4,C5,100,506,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,4,C6_anchor,100,506,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,4,C6,100,506,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,4,C4,100,506,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,4,C2,100,506,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,4,reference,100,506,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,5,C1_anchor,100,523,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,5,C4,100,523,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,5,C1,100,523,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,5,C2,100,523,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,5,C6,100,523,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,5,C3,100,523,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,5,C5,100,523,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,5,reference,100,523,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,6,C6,100,474,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,6,C3_anchor,100,474,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,6,C1,100,474,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,6,C2,100,474,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,6,C5,100,474,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,6,C4,100,474,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,6,C3,100,474,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,6,reference,100,474,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,7,C1,100,434,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,7,C1_anchor,100,434,
20171211SongRuoXuan/daxp_Qing_zao_qi_lai-Mai_shui-dxjky,7,C2,100,434,
